"Name","epoch/val_categorical_accuracy (Max)","Notes","Runtime","CACHEING","DELTA","ROTATE_LIMIT","SCALE_LIMIT","SHIFT_LIMIT","TAU","T_max","decay","epochs","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_accuracy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.6499999761581421","Model summary : 
None","380","","44","15","0.1","0.1","133","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.4911133646965027","1.6490414142608645"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","380","","10","15","0.1","0.1","57","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8062499761581421","29","0.00002519240115361754","0.4600237309932709","1.5630066394805908"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","440","","17","15","0.1","0.1","39","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6875","29","0.00002519240115361754","0.5871248245239258","1.2081786394119265"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","382","","18","15","0.1","0.1","93","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.800000011920929","29","0.00002519240115361754","0.43613535165786743","1.0576720237731934"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.6499999761581421","Model summary : 
None","435","","5","15","0.1","0.1","48","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.793749988079071","29","0.00002519240115361754","0.4765799939632416","4.866944789886475"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","323","","3","15","0.1","0.1","25","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7749999761581421","29","0.00002519240115361754","0.40603843331336975","1.8655245304107664"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.6499999761581421","Model summary : 
None","540","","11","15","0.1","0.1","28","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7124999761581421","29","0.00002519240115361754","0.5510756373405457","3.493173122406006"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","334","","26","15","0.1","0.1","54","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.5399688482284546","2.5175082683563232"
"C1_EfficientNetB0_augmentation","0.6499999761581421","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe815525e90>","5104","transforms_for_video","","10","0.1","0.1","","501","0.09","1000","0.0001","0.000025","cosineAnnealer","80","7","20","20","0.925000011920929","999","0.00002500294976925943","0.16029758751392365","3.5104498863220215"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","380","","26","15","0.1","0.1","27","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6625000238418579","29","0.00002519240115361754","0.6437259912490845","1.997411012649536"
